flight_number,origin,destination,scheduled_departure,scheduled_arrival,inbound_flight_number,inbound_origin,inbound_status,inbound_estimated_arrival,aircraft_latitude,aircraft_longitude,turnaround_time_minutes,gate_status,delay_reason,weather_status,crew_status,passenger_load_factor,estimated_boarding_start,estimated_ready_time
AC796,YOW,YQB,2025-03-15 12:37,2025-03-15 14:37,AC638,YVR,En Route,2025-03-15 11:46,46.464,-94.134,100,Occupied,Weather,Heavy Snow,In Transit,0.99,2025-03-15 14:14,2025-03-15 15:02
AC193,YOW,YWG,2025-03-15 18:48,2025-03-15 23:48,AC556,YQB,Delayed,2025-03-15 18:04,46.0866,-72.2977,70,Unassigned,Catering,Light Snow,Ready,0.83,2025-03-15 18:27,2025-03-15 19:07
AC146,YQB,YVR,2025-03-15 16:57,2025-03-15 21:57,AC452,YEG,En Route,2025-03-15 16:13,49.0868,-83.0096,92,Unassigned,Weather,Thunderstorm,Rest Period,0.88,2025-03-15 17:17,2025-03-15 18:03
AC990,YEG,YWG,2025-03-15 06:22,2025-03-15 10:53,AC484,YWG,Taxiing,2025-03-15 05:45,53.3126,-113.5599,47,Assigned,None,Clear,Ready,0.85,2025-03-15 05:46,2025-03-15 06:29
AC574,YYZ,YYC,2025-03-15 14:04,2025-03-15 19:04,AC534,YQB,Delayed,2025-03-15 14:13,46.9011,-71.411,89,Unassigned,Crew,Thunderstorm,Delayed,0.99,2025-03-15 15:12,2025-03-15 15:52
AC708,YVR,YQB,2025-03-15 15:12,2025-03-15 20:12,AC557,YYZ,Taxiing,2025-03-15 14:28,49.2221,-123.1539,41,Open,None,Overcast,On Duty,0.66,2025-03-15 14:33,2025-03-15 15:15
AC935,YYC,YOW,2025-03-15 15:12,2025-03-15 20:12,AC691,YEG,On Time,2025-03-15 14:34,52.5434,-113.1985,58,Assigned,Fueling,Fog,Ready,0.84,2025-03-15 15:13,2025-03-15 15:55
AC607,YEG,YYJ,2025-03-15 15:58,2025-03-15 19:19,AC452,YYZ,Delayed,2025-03-15 15:34,47.2845,-92.0847,50,Unassigned,Catering,Overcast,In Transit,0.8,2025-03-15 15:58,2025-03-15 16:42
AC159,YUL,YWG,2025-03-15 12:06,2025-03-15 17:06,AC522,YQB,En Route,2025-03-15 11:23,45.3722,-72.9667,132,Maintenance,Technical,Blizzard,Rest Period,0.95,2025-03-15 12:45,2025-03-15 13:28
AC994,YEG,YYZ,2025-03-15 18:43,2025-03-15 23:43,AC292,YVR,Taxiing,2025-03-15 18:13,53.2809,-113.6137,35,Open,None,Overcast,On Duty,0.84,2025-03-15 18:09,2025-03-15 18:50
AC812,YWG,YOW,2025-03-15 20:37,2025-03-16 01:37,AC506,YOW,En Route,2025-03-15 19:33,48.8922,-92.3111,140,Unassigned,De-icing,Thunderstorm,Rest Period,0.89,2025-03-15 22:04,2025-03-15 22:51
AC479,YHZ,YOW,2025-03-15 05:46,2025-03-15 09:20,AC523,YEG,Delayed,2025-03-15 04:31,52.4101,-108.078,117,Unassigned,Blizzard,Fog,Rest Period,0.87,2025-03-15 06:28,2025-03-15 07:16
AC881,YHZ,YYC,2025-03-15 15:57,2025-03-15 20:57,AC840,YYJ,Delayed,2025-03-15 15:12,48.6897,-117.4218,60,Occupied,Fueling,Fog,In Transit,0.87,2025-03-15 15:46,2025-03-15 16:26
AC882,YVR,YYZ,2025-03-15 07:20,2025-03-15 12:20,AC522,YYZ,On Time,2025-03-15 06:36,43.9822,-80.5074,56,Occupied,Late Inbound,Light Snow,In Transit,0.84,2025-03-15 07:02,2025-03-15 07:49
AC644,YYZ,YQB,2025-03-15 05:12,2025-03-15 07:47,AC521,YQB,On Time,2025-03-15 04:24,46.5605,-73.4862,66,Occupied,Fueling,Light Snow,Ready,0.89,2025-03-15 05:10,2025-03-15 05:51
AC734,YOW,YQB,2025-03-15 18:54,2025-03-15 20:49,AC358,YQB,Delayed,2025-03-15 18:09,46.8093,-71.5283,67,Assigned,Fueling,Overcast,Standby,0.85,2025-03-15 18:54,2025-03-15 19:44
AC515,YYZ,YVR,2025-03-15 14:25,2025-03-15 19:25,AC486,YWG,Delayed,2025-03-15 12:59,47.3383,-88.2372,147,Maintenance,De-icing,Fog,In Transit,0.97,2025-03-15 14:32,2025-03-15 15:12
AC377,YQB,YWG,2025-03-15 16:40,2025-03-15 21:40,AC176,YYZ,Landed,2025-03-15 15:48,46.834,-71.4134,47,Assigned,None,Clear,Ready,0.75,2025-03-15 16:01,2025-03-15 16:50
AC439,YEG,YYJ,2025-03-15 17:37,2025-03-15 20:41,AC873,YWG,Taxiing,2025-03-15 17:06,53.2938,-113.5558,37,Assigned,None,Clear,Ready,0.71,2025-03-15 16:59,2025-03-15 17:48
AC749,YHZ,YYZ,2025-03-15 12:41,2025-03-15 16:59,AC902,YYC,On Time,2025-03-15 12:01,50.9823,-111.5487,47,Assigned,None,Overcast,Ready,0.77,2025-03-15 12:12,2025-03-15 12:53
AC828,YUL,YEG,2025-03-15 11:38,2025-03-15 16:38,AC857,YOW,Landed,2025-03-15 10:47,45.4308,-73.7821,43,Open,None,Overcast,On Duty,0.69,2025-03-15 11:01,2025-03-15 11:47
AC517,YYJ,YQB,2025-03-15 06:31,2025-03-15 11:31,AC126,YVR,On Time,2025-03-15 06:03,49.2074,-123.2172,57,Occupied,Fueling,Overcast,In Transit,0.8,2025-03-15 06:08,2025-03-15 06:51
AC273,YUL,YEG,2025-03-15 10:08,2025-03-15 15:08,AC375,YOW,Delayed,2025-03-15 09:10,45.0799,-75.8484,70,Assigned,Catering,Gusty Winds,Standby,0.8,2025-03-15 09:47,2025-03-15 10:37
AC568,YQB,YOW,2025-03-15 10:11,2025-03-15 11:55,AC238,YVR,Delayed,2025-03-15 09:36,48.3572,-101.7624,71,Occupied,Catering,Gusty Winds,Standby,0.81,2025-03-15 09:56,2025-03-15 10:40
AC421,YOW,YWG,2025-03-15 10:26,2025-03-15 15:26,AC507,YUL,Taxiing,2025-03-15 09:47,45.309,-75.626,47,Open,None,Overcast,On Duty,0.67,2025-03-15 10:01,2025-03-15 10:44
AC798,YYJ,YUL,2025-03-15 17:24,2025-03-15 22:24,AC127,YQB,On Time,2025-03-15 16:43,46.8248,-79.6178,65,Unassigned,ATC,Overcast,Ready,0.83,2025-03-15 17:05,2025-03-15 17:51
AC712,YVR,YWG,2025-03-15 11:50,2025-03-15 16:50,AC696,YYJ,En Route,2025-03-15 11:39,48.9748,-123.2671,120,Maintenance,Technical,Heavy Snow,Delayed,0.97,2025-03-15 13:42,2025-03-15 14:32
AC915,YEG,YHZ,2025-03-15 05:10,2025-03-15 10:10,AC208,YWG,Delayed,2025-03-15 04:37,51.3115,-103.5505,59,Occupied,Passenger,Fog,Standby,0.81,2025-03-15 04:52,2025-03-15 05:37
AC402,YWG,YVR,2025-03-15 06:58,2025-03-15 11:58,AC187,YEG,En Route,2025-03-15 06:23,51.3376,-104.203,119,Unassigned,Technical,Fog,Delayed,0.93,2025-03-15 07:39,2025-03-15 08:24
AC123,YYZ,YVR,2025-03-15 06:51,2025-03-15 11:51,AC763,YEG,On Time,2025-03-15 06:09,48.4256,-97.404,48,Open,None,Rain,Ready,0.68,2025-03-15 06:18,2025-03-15 07:00
AC129,YEG,YQB,2025-03-15 15:06,2025-03-15 20:06,AC560,YOW,Landed,2025-03-15 14:22,53.2963,-113.613,40,Open,None,Overcast,Ready,0.74,2025-03-15 14:26,2025-03-15 15:07
AC754,YWG,YYJ,2025-03-15 11:37,2025-03-15 16:37,AC711,YHZ,Landed,2025-03-15 10:54,49.9519,-97.2308,44,Assigned,None,Overcast,Ready,0.8,2025-03-15 11:00,2025-03-15 11:50
AC412,YVR,YOW,2025-03-15 11:22,2025-03-15 16:22,AC287,YUL,On Time,2025-03-15 10:35,46.848,-89.3054,50,Open,None,Rain,On Duty,0.71,2025-03-15 10:54,2025-03-15 11:36
AC243,YWG,YYC,2025-03-15 19:22,2025-03-15 23:47,AC422,YUL,On Time,2025-03-15 19:02,47.6154,-85.0703,57,Unassigned,ATC,Overcast,In Transit,0.78,2025-03-15 18:58,2025-03-15 19:48
AC271,YWG,YQB,2025-03-15 05:31,2025-03-15 10:31,AC678,YVR,En Route,2025-03-15 04:39,49.9679,-104.7551,63,Unassigned,Late Inbound,Gusty Winds,In Transit,0.88,2025-03-15 05:15,2025-03-15 05:56
AC943,YYC,YYJ,2025-03-15 19:02,2025-03-15 22:12,AC655,YEG,En Route,2025-03-15 18:24,51.6207,-113.4901,71,Unassigned,Passenger,Fog,Standby,0.77,2025-03-15 19:01,2025-03-15 19:41
AC549,YHZ,YVR,2025-03-15 18:51,2025-03-15 23:51,AC894,YVR,En Route,2025-03-15 18:14,47.1184,-98.939,70,Occupied,Fueling,Overcast,In Transit,0.85,2025-03-15 18:51,2025-03-15 19:36
AC272,YQB,YYJ,2025-03-15 09:59,2025-03-15 14:59,AC820,YHZ,On Time,2025-03-15 09:46,45.3358,-66.5607,53,Occupied,ATC,Fog,Standby,0.91,2025-03-15 09:42,2025-03-15 10:25
AC879,YHZ,YOW,2025-03-15 07:25,2025-03-15 10:59,AC601,YWG,Taxiing,2025-03-15 06:58,44.8711,-63.4836,37,Assigned,None,Overcast,On Duty,0.62,2025-03-15 06:53,2025-03-15 07:38
AC695,YWG,YHZ,2025-03-15 18:12,2025-03-15 23:12,AC989,YYZ,On Time,2025-03-15 17:30,44.7284,-83.6403,75,Unassigned,Fueling,Light Snow,Ready,0.82,2025-03-15 17:49,2025-03-15 18:33
AC679,YQB,YUL,2025-03-15 10:51,2025-03-15 12:41,AC907,YWG,Taxiing,2025-03-15 10:02,46.7852,-71.4432,40,Open,None,Rain,On Duty,0.6,2025-03-15 10:12,2025-03-15 10:58
AC262,YUL,YYC,2025-03-15 16:10,2025-03-15 21:10,AC195,YHZ,Landed,2025-03-15 15:29,45.4635,-73.7817,42,Open,None,Clear,On Duty,0.76,2025-03-15 15:32,2025-03-15 16:13
AC235,YWG,YVR,2025-03-15 16:36,2025-03-15 21:36,AC631,YOW,On Time,2025-03-15 15:54,46.4319,-80.1983,42,Open,None,Overcast,Ready,0.72,2025-03-15 15:56,2025-03-15 16:41
AC491,YYC,YUL,2025-03-15 16:33,2025-03-15 21:33,AC756,YUL,On Time,2025-03-15 16:03,48.1904,-92.3204,39,Open,None,Overcast,On Duty,0.78,2025-03-15 15:53,2025-03-15 16:36
AC870,YVR,YUL,2025-03-15 17:27,2025-03-15 22:27,AC703,YUL,Landed,2025-03-15 16:45,49.202,-123.1715,42,Open,None,Clear,On Duty,0.76,2025-03-15 17:00,2025-03-15 17:49
AC310,YYZ,YYC,2025-03-15 13:41,2025-03-15 18:41,AC721,YQB,Taxiing,2025-03-15 12:58,43.6777,-79.6154,42,Open,None,Clear,On Duty,0.7,2025-03-15 13:13,2025-03-15 14:01
AC424,YYZ,YHZ,2025-03-15 19:41,2025-03-16 00:10,AC496,YOW,En Route,2025-03-15 19:44,44.5323,-76.4633,83,Occupied,Crew,Fog,Delayed,0.85,2025-03-15 21:33,2025-03-15 22:19
AC533,YYJ,YEG,2025-03-15 15:55,2025-03-15 19:12,AC184,YEG,On Time,2025-03-15 15:18,50.6936,-118.5512,51,Unassigned,ATC,Gusty Winds,In Transit,0.84,2025-03-15 15:49,2025-03-15 16:38
AC815,YVR,YYC,2025-03-15 19:26,2025-03-15 22:15,AC847,YWG,En Route,2025-03-15 18:44,49.5927,-114.8502,54,Unassigned,ATC,Overcast,Ready,0.85,2025-03-15 19:08,2025-03-15 19:48
AC608,YYZ,YUL,2025-03-15 13:49,2025-03-15 16:17,AC635,YEG,En Route,2025-03-15 13:32,48.5747,-97.1145,78,Unassigned,Crew,Thunderstorm,In Transit,0.98,2025-03-15 15:00,2025-03-15 15:44
AC608,YQB,YVR,2025-03-15 11:08,2025-03-15 16:08,AC623,YWG,Cancelled,2025-03-15 11:06,49.91,-97.2398,89,Maintenance,Technical,Heavy Snow,In Transit,0.95,2025-03-15 11:55,2025-03-15 12:38
AC979,YYZ,YQB,2025-03-15 05:47,2025-03-15 08:37,AC350,YVR,Cancelled,2025-03-15 04:38,49.1967,-123.1815,128,Maintenance,Weather,Fog,Delayed,0.9,2025-03-15 07:30,2025-03-15 08:15
AC222,YVR,YHZ,2025-03-15 20:23,2025-03-16 01:23,AC789,YQB,On Time,2025-03-15 19:45,47.5322,-91.8367,44,Open,None,Overcast,Ready,0.82,2025-03-15 19:50,2025-03-15 20:37
AC677,YOW,YYC,2025-03-15 15:37,2025-03-15 20:37,AC857,YHZ,Landed,2025-03-15 14:57,45.2749,-75.665,48,Assigned,None,Clear,Ready,0.64,2025-03-15 15:08,2025-03-15 15:58
AC101,YYZ,YHZ,2025-03-15 17:35,2025-03-15 22:01,AC969,YWG,Cancelled,2025-03-15 17:08,49.91,-97.2398,93,Occupied,Crew,Fog,Rest Period,0.99,2025-03-15 18:06,2025-03-15 18:50
AC522,YOW,YYJ,2025-03-15 17:45,2025-03-15 22:45,AC569,YEG,Taxiing,2025-03-15 17:15,45.316,-75.6228,36,Open,None,Rain,On Duty,0.62,2025-03-15 17:08,2025-03-15 17:51
AC817,YHZ,YEG,2025-03-15 12:43,2025-03-15 17:43,AC425,YEG,On Time,2025-03-15 11:59,51.2291,-102.7061,40,Open,None,Rain,Ready,0.64,2025-03-15 12:05,2025-03-15 12:50
AC415,YOW,YWG,2025-03-15 19:32,2025-03-16 00:32,AC371,YYJ,Delayed,2025-03-15 18:54,48.6115,-119.4159,116,Occupied,Blizzard,Heavy Snow,Delayed,0.98,2025-03-15 20:17,2025-03-15 21:03
AC939,YYC,YQB,2025-03-15 11:54,2025-03-15 16:54,AC131,YUL,Delayed,2025-03-15 11:17,45.3782,-76.2251,70,Occupied,Late Inbound,Light Snow,Standby,0.77,2025-03-15 11:46,2025-03-15 12:29
AC802,YEG,YHZ,2025-03-15 15:00,2025-03-15 20:00,AC696,YVR,On Time,2025-03-15 14:15,51.3873,-119.0061,37,Open,None,Rain,On Duty,0.8,2025-03-15 14:20,2025-03-15 15:00
AC687,YYZ,YUL,2025-03-15 17:21,2025-03-15 19:36,AC941,YWG,Cancelled,2025-03-15 17:11,49.91,-97.2398,98,Occupied,De-icing,Blizzard,Rest Period,0.88,2025-03-15 17:33,2025-03-15 18:17
AC728,YUL,YYZ,2025-03-15 10:02,2025-03-15 12:20,AC762,YYC,Landed,2025-03-15 09:12,45.4849,-73.7111,41,Open,None,Overcast,On Duty,0.63,2025-03-15 09:37,2025-03-15 10:20
AC491,YYJ,YYZ,2025-03-15 14:17,2025-03-15 19:17,AC591,YHZ,Delayed,2025-03-15 14:11,45.2003,-72.666,45,Occupied,Passenger,Gusty Winds,Standby,0.8,2025-03-15 14:03,2025-03-15 14:47
AC466,YWG,YYJ,2025-03-15 06:42,2025-03-15 11:42,AC263,YOW,Taxiing,2025-03-15 06:00,49.8776,-97.2305,40,Open,None,Clear,On Duty,0.69,2025-03-15 06:09,2025-03-15 06:54
AC681,YYZ,YHZ,2025-03-15 08:12,2025-03-15 12:41,AC676,YOW,Cancelled,2025-03-15 07:31,45.3225,-75.6692,103,Unassigned,Weather,Heavy Snow,Delayed,0.88,2025-03-15 09:36,2025-03-15 10:16
AC728,YYZ,YHZ,2025-03-15 07:13,2025-03-15 11:26,AC925,YYC,On Time,2025-03-15 06:38,50.2145,-111.5489,74,Unassigned,ATC,Light Snow,In Transit,0.85,2025-03-15 06:53,2025-03-15 07:38
AC700,YHZ,YEG,2025-03-15 10:09,2025-03-15 15:09,AC444,YVR,Delayed,2025-03-15 09:18,48.1289,-102.2011,146,Occupied,De-icing,Thunderstorm,Delayed,0.96,2025-03-15 10:54,2025-03-15 11:37
AC414,YUL,YEG,2025-03-15 08:01,2025-03-15 13:01,AC230,YHZ,En Route,2025-03-15 07:19,45.4315,-70.9903,74,Occupied,Catering,Light Snow,In Transit,0.85,2025-03-15 08:06,2025-03-15 08:47
AC863,YUL,YHZ,2025-03-15 10:55,2025-03-15 13:57,AC343,YVR,Delayed,2025-03-15 10:54,48.8308,-114.2971,83,Unassigned,Weather,Thunderstorm,Delayed,0.89,2025-03-15 11:22,2025-03-15 12:02
AC523,YEG,YUL,2025-03-15 10:59,2025-03-15 15:59,AC487,YYJ,Landed,2025-03-15 10:28,53.2892,-113.6008,36,Open,None,Clear,On Duty,0.62,2025-03-15 10:22,2025-03-15 11:03
AC264,YUL,YEG,2025-03-15 20:19,2025-03-16 01:19,AC660,YVR,Landed,2025-03-15 19:21,45.4363,-73.7807,48,Assigned,None,Rain,Ready,0.75,2025-03-15 19:54,2025-03-15 20:37
AC839,YEG,YYJ,2025-03-15 16:16,2025-03-15 19:25,AC371,YQB,Cancelled,2025-03-15 15:53,46.7911,-71.3933,75,Maintenance,De-icing,Fog,Delayed,0.86,2025-03-15 17:21,2025-03-15 18:07
AC304,YQB,YWG,2025-03-15 08:31,2025-03-15 13:31,AC126,YVR,Taxiing,2025-03-15 07:33,46.79,-71.3772,50,Assigned,None,Clear,On Duty,0.8,2025-03-15 08:00,2025-03-15 08:41
AC479,YEG,YUL,2025-03-15 08:11,2025-03-15 13:11,AC478,YWG,En Route,2025-03-15 07:46,52.5039,-109.3185,49,Unassigned,Fueling,Fog,Standby,0.85,2025-03-15 07:54,2025-03-15 08:39
AC666,YEG,YOW,2025-03-15 11:36,2025-03-15 16:36,AC960,YYZ,En Route,2025-03-15 11:19,51.5642,-106.6711,125,Occupied,De-icing,Blizzard,Rest Period,0.89,2025-03-15 13:28,2025-03-15 14:16
AC223,YQB,YUL,2025-03-15 07:51,2025-03-15 09:19,AC277,YWG,Delayed,2025-03-15 07:03,48.3671,-86.0496,93,Unassigned,Weather,Fog,Delayed,1.0,2025-03-15 08:28,2025-03-15 09:09
AC665,YYJ,YEG,2025-03-15 09:42,2025-03-15 12:58,AC977,YHZ,Landed,2025-03-15 09:13,48.6894,-123.4197,38,Assigned,None,Clear,On Duty,0.64,2025-03-15 09:02,2025-03-15 09:43
AC998,YYJ,YHZ,2025-03-15 11:32,2025-03-15 16:32,AC370,YEG,Cancelled,2025-03-15 10:10,53.3097,-113.5827,126,Maintenance,Technical,Fog,Delayed,0.94,2025-03-15 13:38,2025-03-15 14:18
AC150,YHZ,YOW,2025-03-15 20:18,2025-03-15 23:45,AC375,YYJ,On Time,2025-03-15 19:39,46.5436,-94.4908,38,Assigned,None,Overcast,On Duty,0.81,2025-03-15 19:48,2025-03-15 20:35
AC846,YHZ,YYC,2025-03-15 16:01,2025-03-15 21:01,AC719,YWG,Delayed,2025-03-15 15:33,49.9546,-96.2297,95,Unassigned,De-icing,Thunderstorm,Delayed,0.93,2025-03-15 17:59,2025-03-15 18:47
AC297,YYZ,YUL,2025-03-15 05:59,2025-03-15 08:09,AC957,YYC,Delayed,2025-03-15 04:26,50.0752,-107.0048,139,Unassigned,Crew,Thunderstorm,Rest Period,0.97,2025-03-15 08:00,2025-03-15 08:43
AC281,YQB,YWG,2025-03-15 14:24,2025-03-15 19:24,AC700,YWG,Landed,2025-03-15 13:42,46.8265,-71.3653,40,Open,None,Overcast,Ready,0.7,2025-03-15 13:49,2025-03-15 14:32
AC375,YOW,YQB,2025-03-15 05:20,2025-03-15 07:31,AC625,YWG,En Route,2025-03-15 05:06,46.9448,-82.5374,114,Maintenance,Crew,Heavy Snow,Delayed,0.89,2025-03-15 05:27,2025-03-15 06:13
AC323,YWG,YYC,2025-03-15 16:33,2025-03-15 21:00,AC409,YYJ,En Route,2025-03-15 16:36,48.8413,-111.7075,111,Maintenance,Weather,Thunderstorm,In Transit,0.95,2025-03-15 18:19,2025-03-15 19:03
AC771,YYC,YQB,2025-03-15 07:33,2025-03-15 12:33,AC292,YHZ,En Route,2025-03-15 06:59,49.5067,-97.1042,45,Occupied,Catering,Gusty Winds,Ready,0.77,2025-03-15 07:36,2025-03-15 08:22
AC451,YYZ,YOW,2025-03-15 14:07,2025-03-15 16:08,AC802,YYC,Delayed,2025-03-15 13:34,48.8447,-104.4419,73,Occupied,Fueling,Gusty Winds,In Transit,0.89,2025-03-15 14:11,2025-03-15 14:55
AC796,YYJ,YUL,2025-03-15 06:31,2025-03-15 11:31,AC770,YHZ,Cancelled,2025-03-15 05:36,44.8808,-63.5086,134,Unassigned,Technical,Thunderstorm,Rest Period,0.94,2025-03-15 07:33,2025-03-15 08:14
AC583,YQB,YVR,2025-03-15 07:02,2025-03-15 12:02,AC612,YOW,On Time,2025-03-15 06:37,46.0613,-74.5437,51,Unassigned,Catering,Light Snow,In Transit,0.77,2025-03-15 06:49,2025-03-15 07:36
AC599,YUL,YVR,2025-03-15 08:01,2025-03-15 13:01,AC746,YEG,Taxiing,2025-03-15 07:11,45.4782,-73.775,40,Assigned,None,Overcast,Ready,0.79,2025-03-15 07:22,2025-03-15 08:03
AC513,YEG,YQB,2025-03-15 11:32,2025-03-15 16:32,AC588,YWG,On Time,2025-03-15 10:58,50.7241,-102.1672,35,Open,None,Overcast,Ready,0.6,2025-03-15 10:58,2025-03-15 11:43
AC615,YVR,YEG,2025-03-15 06:06,2025-03-15 09:27,AC271,YHZ,On Time,2025-03-15 05:26,46.0218,-73.8753,39,Assigned,None,Rain,On Duty,0.71,2025-03-15 05:35,2025-03-15 06:18
AC333,YEG,YYZ,2025-03-15 07:14,2025-03-15 12:14,AC844,YOW,Taxiing,2025-03-15 06:46,53.2972,-113.5687,36,Open,None,Clear,On Duty,0.78,2025-03-15 06:34,2025-03-15 07:22
AC777,YQB,YYZ,2025-03-15 19:16,2025-03-15 21:51,AC769,YVR,En Route,2025-03-15 18:29,47.2519,-87.4676,60,Unassigned,Catering,Overcast,In Transit,0.84,2025-03-15 19:13,2025-03-15 19:53
AC376,YVR,YYJ,2025-03-15 19:10,2025-03-15 20:35,AC528,YOW,On Time,2025-03-15 18:28,47.161,-93.6774,41,Open,None,Clear,On Duty,0.65,2025-03-15 18:33,2025-03-15 19:18
AC140,YYC,YUL,2025-03-15 20:32,2025-03-16 01:32,AC608,YQB,En Route,2025-03-15 20:25,50.2561,-104.1068,89,Maintenance,Weather,Heavy Snow,In Transit,0.86,2025-03-15 22:40,2025-03-15 23:21
AC362,YVR,YQB,2025-03-15 10:03,2025-03-15 15:03,AC567,YYC,Cancelled,2025-03-15 09:00,51.1315,-114.0106,115,Maintenance,Weather,Thunderstorm,Rest Period,0.97,2025-03-15 10:20,2025-03-15 11:06
AC109,YVR,YYZ,2025-03-15 16:02,2025-03-15 21:02,AC779,YOW,Cancelled,2025-03-15 16:00,45.3225,-75.6692,98,Occupied,Technical,Heavy Snow,Rest Period,0.97,2025-03-15 17:38,2025-03-15 18:19
AC955,YWG,YYC,2025-03-15 19:31,2025-03-15 23:57,AC806,YEG,Delayed,2025-03-15 18:54,51.4781,-106.2719,75,Assigned,ATC,Fog,Ready,0.87,2025-03-15 19:26,2025-03-15 20:13
AC725,YWG,YUL,2025-03-15 11:07,2025-03-15 16:07,AC897,YEG,Delayed,2025-03-15 11:00,51.7087,-107.8623,108,Unassigned,Weather,Fog,Rest Period,0.86,2025-03-15 11:45,2025-03-15 12:33
AC785,YQB,YOW,2025-03-15 13:55,2025-03-15 16:01,AC631,YHZ,En Route,2025-03-15 13:26,45.9365,-66.1266,124,Occupied,Crew,Fog,Rest Period,0.95,2025-03-15 14:24,2025-03-15 15:13
AC969,YUL,YYJ,2025-03-15 13:27,2025-03-15 18:27,AC972,YYJ,On Time,2025-03-15 12:56,47.8923,-110.9539,36,Assigned,None,Clear,On Duty,0.84,2025-03-15 12:49,2025-03-15 13:32
AC190,YWG,YQB,2025-03-15 10:23,2025-03-15 15:23,AC557,YYJ,Landed,2025-03-15 09:41,49.9426,-97.2106,35,Assigned,None,Overcast,Ready,0.74,2025-03-15 09:43,2025-03-15 10:32
AC311,YYJ,YQB,2025-03-15 11:12,2025-03-15 16:12,AC449,YWG,En Route,2025-03-15 10:22,48.8141,-111.4543,67,Unassigned,Fueling,Overcast,Ready,0.86,2025-03-15 11:13,2025-03-15 11:53
AC634,YYC,YYJ,2025-03-15 06:48,2025-03-15 09:35,AC818,YEG,On Time,2025-03-15 06:01,53.5304,-113.8929,41,Assigned,None,Clear,On Duty,0.75,2025-03-15 06:23,2025-03-15 07:06
AC147,YVR,YEG,2025-03-15 20:13,2025-03-15 23:22,AC890,YUL,Cancelled,2025-03-15 18:41,45.4706,-73.7408,149,Unassigned,Weather,Heavy Snow,In Transit,0.99,2025-03-15 22:27,2025-03-15 23:14
AC848,YUL,YQB,2025-03-15 11:36,2025-03-15 13:19,AC206,YOW,En Route,2025-03-15 11:22,45.3988,-74.428,118,Unassigned,De-icing,Blizzard,Rest Period,0.91,2025-03-15 13:03,2025-03-15 13:49
AC963,YYJ,YYC,2025-03-15 10:21,2025-03-15 13:29,AC981,YQB,On Time,2025-03-15 09:54,47.8494,-89.6237,54,Occupied,Late Inbound,Fog,In Transit,0.86,2025-03-15 10:25,2025-03-15 11:15
AC655,YUL,YYJ,2025-03-15 06:58,2025-03-15 11:58,AC827,YEG,Cancelled,2025-03-15 06:31,53.3097,-113.5827,141,Occupied,De-icing,Thunderstorm,Rest Period,0.97,2025-03-15 09:05,2025-03-15 09:46
AC786,YUL,YYZ,2025-03-15 09:33,2025-03-15 12:00,AC304,YYZ,On Time,2025-03-15 08:55,43.9518,-78.4534,36,Open,None,Clear,On Duty,0.65,2025-03-15 09:02,2025-03-15 09:52
AC498,YOW,YYJ,2025-03-15 18:23,2025-03-15 23:23,AC623,YYC,En Route,2025-03-15 16:44,49.4606,-101.6705,145,Unassigned,De-icing,Fog,In Transit,0.9,2025-03-15 19:41,2025-03-15 20:28
AC856,YHZ,YYJ,2025-03-15 17:22,2025-03-15 22:22,AC894,YOW,Delayed,2025-03-15 17:29,45.1677,-73.3191,90,Maintenance,Weather,Blizzard,Delayed,0.96,2025-03-15 18:42,2025-03-15 19:24
AC438,YYC,YYZ,2025-03-15 20:59,2025-03-16 01:59,AC826,YYJ,On Time,2025-03-15 20:13,48.9451,-123.0575,46,Open,None,Rain,On Duty,0.72,2025-03-15 20:23,2025-03-15 21:05
AC525,YYJ,YUL,2025-03-15 11:53,2025-03-15 16:53,AC649,YQB,Delayed,2025-03-15 11:16,47.52,-90.478,75,Assigned,Fueling,Gusty Winds,Standby,0.8,2025-03-15 11:35,2025-03-15 12:25
AC346,YHZ,YWG,2025-03-15 16:38,2025-03-15 21:38,AC140,YOW,Landed,2025-03-15 15:45,44.8822,-63.5077,46,Assigned,None,Overcast,On Duty,0.61,2025-03-15 16:10,2025-03-15 16:57
AC626,YOW,YHZ,2025-03-15 07:51,2025-03-15 11:37,AC198,YVR,Taxiing,2025-03-15 07:13,45.3561,-75.6986,48,Open,None,Clear,Ready,0.82,2025-03-15 07:11,2025-03-15 07:57
AC124,YVR,YUL,2025-03-15 10:39,2025-03-15 15:39,AC834,YYJ,En Route,2025-03-15 09:36,48.7781,-123.1877,74,Assigned,Fueling,Light Snow,Ready,0.89,2025-03-15 10:16,2025-03-15 11:02
AC647,YEG,YVR,2025-03-15 17:17,2025-03-15 20:31,AC756,YYZ,On Time,2025-03-15 16:25,46.3804,-89.497,44,Assigned,None,Rain,Ready,0.67,2025-03-15 16:38,2025-03-15 17:24
AC260,YYZ,YWG,2025-03-15 07:19,2025-03-15 12:16,AC325,YQB,Landed,2025-03-15 06:54,43.6831,-79.6193,35,Open,None,Overcast,On Duty,0.84,2025-03-15 06:48,2025-03-15 07:29
AC650,YQB,YEG,2025-03-15 10:12,2025-03-15 15:12,AC187,YYJ,Taxiing,2025-03-15 09:26,46.8028,-71.418,42,Assigned,None,Rain,Ready,0.64,2025-03-15 09:43,2025-03-15 10:24
